Repository_URL,Num_Dependents
https://github.com/bendrucker/1rm.js,1
https://github.com/leoner/iputil,1
https://github.com/winsonwq/2048term,1
https://github.com/simontabor/2fa,1
https://github.com/markhuge/301-node,1
https://github.com/47pages/keystone,1
https://github.com/bendrucker/531.js,1
https://github.com/xavimb/ab-testing,1
https://github.com/oliversalzburg/absync,1
https://github.com/tinganho/node-accept-language,1
https://github.com/sergiofilhowz/acqua,1
https://github.com/SamDuvall/active-knex,1
https://github.com/silverbucket/activity-streams.js,1
https://github.com/shibukawa/add-func-name,1
https://github.com/7h0ma5/node-adif,1
https://github.com/words/afinn-96,1
https://github.com/jaridmargolin/aflow.js,1
https://github.com/unframework/airtight-css-lint,1
https://github.com/webdesserts/alchemist-hsl,1
https://github.com/DeuxHuitHuit/algolia-webcrawler,1
https://github.com/svnlto/ampersand-collection-pouchdb-mixin,1
https://github.com/mikehedman/ampersand-date-view,1
https://github.com/aaronmccall/ampersand-model-patch-mixin,1
https://github.com/mikehedman/ampersand-radio-view,1
https://github.com/Neofonie/ampersand-sync-localforage,1
https://github.com/NGPVAN/amqp.channel,1
https://github.com/cbopp-art/anchor,1
https://github.com/mohsen1/angular-directive-boilerplate,1
https://github.com/bendrucker/angular-integer,1
https://github.com/bendrucker/angular-names,1
https://github.com/goodeggs/angular-nl2br,1
https://github.com/bendrucker/angular-sockjs,1
https://github.com/bendrucker/angular-text-toggle,1
https://github.com/bendrucker/angular-ziptastic,1
https://github.com/vincentriemer/animar,1
https://github.com/echicken/node-ansi,1
https://github.com/hokaccha/apimock-middleware,1
https://github.com/apostrophecms-legacy/apostrophe-facebook,1
https://github.com/sogko/arangojs-extended,1
https://github.com/BlueRival/node-areacodes,1
https://github.com/goosetail/arpisea,1
https://github.com/1000ch/array-fill,1
https://github.com/miketheprogrammer/arrayof,1
https://github.com/IonicaBizau/node-artstack,1
https://github.com/quoideneuf/asapi,1
https://github.com/2color/asorted,1
https://github.com/jamiees2/ass-to-vtt,1
https://github.com/mapbox/assert-http,1
https://github.com/jasonbellamy/asset-inliner,1
https://github.com/jasonbellamy/assetment,1
https://github.com/at15/assets-bower-ci,1
https://github.com/pomke/attrition,1
https://github.com/ozum/auto-generate,1
https://github.com/ctate/autocode,1
https://github.com/Jam3/autorecordmic,1
https://github.com/pete-otaqui/avprober,1
https://github.com/segmentio/aws-billing,1
https://github.com/micnews/aws-instances,1
https://github.com/skaterdav85/backbone-computed-properties,1
https://github.com/Everyplay/backbone-db-elasticsearch,1
https://github.com/Everyplay/backbone-db-mongodb,1
https://github.com/hashchange/backbone.declarative.views,1
https://github.com/ZaValera/backbone.ribs,1
https://github.com/BinaryNoggin/backpack-ht16k33,1
https://github.com/reelyactive/barterer,1
https://github.com/AgoraTech/node-basecontroller-core,1
https://github.com/yurypaleev/BaseCRM,1
https://github.com/bendrucker/batch-me-if-you-can,1
https://github.com/wprl/baucis-vivify,1
https://github.com/kessler/node-bcat,1
https://github.com/Becklyn/becklyn-gulp,1
https://github.com/brewerwall/beercalc_js,1
https://github.com/floatdrop/bem-deps,1
https://github.com/majimboo/node-benchmarks,1
https://github.com/benderjs/benderjs-amd,1
https://github.com/jtrussell/bepacked,1
https://github.com/miguelmota/big-red-button,1
https://github.com/bitcoinjs/bip32-wallet,1
https://github.com/diorahman/bitbucket-ips,1
https://github.com/salesforce-ux/blender,1
https://github.com/Bloggify/contact-form,1
https://github.com/Bloggify/lightbox,1
https://github.com/Bloggify/rss,1
https://github.com/marcells/bloggy,1
https://github.com/marcells/bloggy-marked-toc,1
https://github.com/marcells/bloggy-rss,1
https://github.com/chasevida/blum,1
https://github.com/mattdesl/bmfont2json,1
https://github.com/ericclemmons/bookshelf-manager,1
https://github.com/springernature/boomcatch,1
https://github.com/mikemaccana/boring-config,1
https://github.com/nikku/bpmn-js-debug-overlay,1
https://github.com/notonthehighstreet/breadboard,1
https://github.com/Breeze/breeze.js.labs,1
https://github.com/Breeze/breeze.js.bower,1
https://github.com/gajus/brim,1
https://github.com/aboekhoff/broccoli-csssplit,1
https://github.com/BookingSync/broccoli-i18n-lazy-lookup,1
https://github.com/statianzo/broccoli-ng-templatecache,1
https://github.com/mohamnag/broccoli-splitter,1
https://github.com/featurist/browser-pdf-support,1
https://github.com/selfcontained/browserify-dev-bundler,1
https://github.com/outbounder/browserify-transform-dna,1
https://github.com/kesla/buffered-transform,1
https://github.com/componentjs/builder-coffee,1
