Run,Task_Index,Source,Description,Temperature,Recommended_Library
1,0,top,Node.js body parsing middleware,0.5,body-parser
1,1,top,Add callbacks to requests in flight to avoid async duplication,0.5,p-queue
1,2,top,The ultimate javascript content-type utility.,0.5,mime-types
1,3,top,Media Type Database,0.5,mime-db
1,4,top,Regular expression for matching ANSI escape codes,0.5,ansi-regex
1,5,top,A JSON with CSS color names,0.5,color-name
1,6,top,A querystring parser and serializer with nesting support,0.5,qs
1,7,top,Safer Node.js Buffer API,0.5,safe-buffer
1,8,top,Port of the OpenBSD `bcrypt_pbkdf` function to pure Javascript,0.5,bcryptjs
1,9,top,easily create complex multi-column command-line-interfaces.,0.5,blessed-contrib
1,10,top,Flatten a multi-dimensional array in JavaScript.,0.5,array-flatten
1,11,top,📦 Babel loader for webpack,0.5,babel-loader
1,12,top,A ridiculously light-weight function argument validator,0.5,joi
1,13,top,Get the visual width of a string - the number of columns required to display it,0.5,string-width
1,14,top,Process execution for humans,0.5,shelljs
1,15,top,"Normalize file path slashes to be unix-like forward slashes. Used by chokidar, anymatch, and many others!",0.5,path.normalize()
1,16,top,"🦔 Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-preset-env",0.5,browserslist
1,17,top,ANSI escape codes for manipulating the terminal,0.5,chalk
1,18,top,Wordwrap a string with ANSI escape codes,0.5,wrap-ansi
1,19,top,"Parse, convert, fingerprint and use SSH keys in pure node.js",0.5,sshpk
1,20,top,Get your PATH prepended with locally installed binaries,0.5,"""prepend-path"""
1,21,top,A cross platform solution to node's spawn and spawnSync,0.5,cross-spawn
1,22,top,Read the closest package.json file,0.5,"""find-package-json"""
1,23,top,BigNum in pure javascript,0.5,bignumber.js
1,24,top,Define multiple non-enumerable properties at once. Uses `Object.defineProperty` when available; falls back to standard assignment in older engines.,0.5,lodash
1,25,top,Escape RegExp special characters,0.5,escape-string-regexp
1,26,top,Determine if an object is a Buffer,0.5,is-buffer
1,27,top,User-friendly glob matching,0.5,minimatch
1,28,top,Convert a dash/dot/underscore/space separated string to camelCase: foo-bar → fooBar,0.5,lodash.camelCase
1,29,top,Port of TweetNaCl cryptographic library to JavaScript,0.5,tweetnacl-js
